mint,state,size_sol,entry_price,exit_price,exit_reason,gross_pnl_sol,fees_sol,net_pnl_sol,pnl_pct,mfe_pct,mae_pct,hold_ms,exit_trigger_to_confirm_ms,entry_soft_score,high_volatility,feed_source,venue,slippage_sol,mode,relaxed_risk,relaxed_reasons_json,opened_at,closed_at,entry_tx,exit_tx
6LYWeAHk3iXreuKBN1PqyeFay9eAmnBwZiuVeCVbpump,CLOSED,0.03,3.2578953491058483e-7,3.782163731722134e-7,TAKE_PROFIT_1,0.004827672405992187,0.0005798917331094612,0.004247780672882726,14.159268909609086,16.09224135330728,-1.3481397726133122,130257,,85,0,,,0.000029891733109461194,dry-run,0,,2026-09-23T23:06:49.970Z,2026-09-23T23:09:00.227Z,,
Gqd7igXfoMXi3ba197A2tkGLpTsow3tfMWfP2FAy4vhA,CLOSED,0.03,4.6386216275244407e-7,3.621921854231493e-7,STOP_LOSS,-0.006575443234646048,0.0005686473820898847,-0.007144090616735932,-23.813635389119774,1.7892330404459575,-21.91814411548683,5713,,85,0,laserstream,pumpswap,0.000018647382089884688,dry-run,0,,2026-09-23T23:12:15.697Z,2026-09-23T23:12:21.410Z,,
B6SoEnXH3GHdEzJoeBgpvBfVMNHrG4PheeMNxD4pump,CLOSED,0.015,2.433252075218485e-7,2.8514787861260045e-7,TAKE_PROFIT_1,0.0025781959573791756,0.0004838692194166155,0.00209432673796256,13.962178253083735,17.187973049194515,-12.266608475119657,17858,,82,0,,,0.000008869219416615505,dry-run,1,"[""relaxed_h5_top10""]",2026-09-23T23:17:43.858Z,2026-09-23T23:18:01.716Z,,
BCBwLPmYKAMuFkvNZbJ4xfkdFnZ1JFQ4W3sg8Npb88o5,CLOSED,0.03,3.292662358465569e-7,3.2997048855812187e-7,TRAILING_STOP,0.00006416564787649515,0.0005765702881411856,-0.0005124046402646905,-1.7080154675489685,14.3795340837327,-8.685788871113228,23546,,67,0,laserstream,pumpswap,0.000026570288141185572,dry-run,0,,2026-09-23T23:20:53.276Z,2026-09-23T23:21:16.822Z,,
2PENPmfgJfq6CG3k4byj4oWwHf8SerqakmYHMkUupump,CLOSED,0.015,3.485617466160383e-7,2.5025026677944964e-7,STOP_LOSS,-0.004230734473491349,0.00048020732984938144,-0.0047109418033407305,-31.406278688938205,10.500484790066675,-28.20489648994233,8898,,85,0,,,0.000005207329849381444,dry-run,1,"[""relaxed_h5_top10""]",2026-09-23T23:22:54.990Z,2026-09-23T23:23:03.888Z,,
7gjnezG3vW1DgtaqSwVqYn79Gmsd1rs8HPzmCnfqhMvz,CLOSED,0.03,3.3353950081738705e-7,2.7189555946026397e-7,STOP_LOSS,-0.005544525419573002,0.0005729871354279235,-0.006117512555000926,-20.391708516669755,0,-18.481751398576673,1061,,85,0,,,0.000022987135427923465,dry-run,0,,2026-09-23T23:33:36.551Z,2026-09-23T23:33:37.612Z,,
4pquHRT6onJuuoT8VJXdg8ifbG5N4fJWgVwqkPGEpump,CLOSED,0.03,3.2132954143445337e-7,2.641438780896157e-7,STOP_LOSS,-0.005338973480890123,0.0005735920202699419,-0.005912565501160065,-19.70855167053355,2.2608687528007385,-17.796578269633745,7752,,85,0,laserstream,pumpswap,0.000023592020269941914,dry-run,0,,2026-09-23T23:34:43.907Z,2026-09-23T23:34:51.659Z,,
8quxcffZcXr7T8oWp7XH6Lc5Q3HmL2gvJMDULyL2pump,CLOSED,0.03,3.257895344320928e-7,3.3652262140659617e-7,TRAILING_STOP,0.0009883454660272895,0.0005773256695633098,0.0004110197964639797,1.3700659882132658,12.661267142265306,0,32830,,85,0,,,0.000027325669563309792,dry-run,0,,2026-09-23T23:36:53.655Z,2026-09-23T23:37:26.485Z,,
oT28fV2NKiVvc9tkRNqyLguCreSCemhwUhfrqpkpump,CLOSED,0.03,3.3353889377986786e-7,3.368112149892866e-7,TRAILING_STOP,0.0002943274026307474,0.0005765286130198744,-0.000282201210389127,-0.9406707012970901,12.790239127570388,0,2688,,85,0,,,0.00002652861301987442,dry-run,0,,2026-09-23T23:43:26.314Z,2026-09-23T23:43:29.002Z,,
9H5iEzs79y6rokw5ukCKzapV7VhWzfaCRz9EFZAFpump,CLOSED,0.03,3.327882772065201e-7,3.838262165902512e-7,TAKE_PROFIT_1,0.004600937852632794,0.0005793951263200426,0.004021542726312751,13.405142421042504,15.336459508775983,0,3070,,85,0,,,0.000029395126320042546,dry-run,0,,2026-09-23T23:45:13.302Z,2026-09-23T23:45:16.372Z,,
EgprjNqbrtweWL4LFuTdKeVZQzzR1svgEWoDNUPqpump,CLOSED,0.03,2.8409330475941297e-7,3.4663974422616617e-7,TAKE_PROFIT_1,0.00660484831063385,0.000583599013835811,0.0060212492967980395,20.070830989326797,22.016161035446167,0,18697,,85,0,laserstream,pumpswap,0.000033599013835811,dry-run,0,,2026-09-23T23:50:40.966Z,2026-09-23T23:50:59.663Z,,
3tzkdxJ1qVCaPAuWmd8FjRFKUbwMYpLUAq5gg4Vopump,CLOSED,0.03,3.3333682922384156e-7,3.99729569343601e-7,TAKE_PROFIT_1,0.005975283943963077,0.0005803063876787264,0.005394977556284351,17.983258520947835,19.917613146543594,0,2180,,85,0,,,0.0000303063876787264,dry-run,0,,2026-09-23T23:52:04.535Z,2026-09-23T23:52:06.715Z,,
